Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
81,Wednesday Jun 28,boxscore,BOS,,MIA,L,2,6,,40-41,5,14.0,Garrett,Pivetta,Puk,2:37,N,34261,.57,----,
82,Thursday Jun 29,boxscore,BOS,,MIA,L,0,2,,40-42,5,15.0,Nardi,Bello,Puk,2:21,N,36559,.52,-----,
83,Friday Jun 30,boxscore,BOS,@,TOR,W,5,0,,41-42,5,15.0,Paxton,Berríos,,2:30,N,37218,.53,+,
84,Saturday Jul 1,boxscore,BOS,@,TOR,W,7,6,,42-42,5,14.0,Crawford,Kikuchi,Jansen,3:06,D,41813,.64,++,
85,Sunday Jul 2,boxscore,BOS,@,TOR,W,5,4,,43-42,5,13.0,Martin,Romano,Jacques,2:59,D,41455,.68,+++,
86,Tuesday Jul 4,boxscore,BOS,,TEX,L,2,6,,43-43,5,13.0,Dunning,Ort,Smith,2:40,D,36136,.67,-,
87,Wednesday Jul 5,boxscore,BOS,,TEX,W,4,2,,44-43,5,12.0,Bello,Gray,Jansen,2:21,N,31568,.64,+,
88,Thursday Jul 6,boxscore,BOS,,TEX,W,10,6,,45-43,5,11.0,Winckowski,Sborz,,3:14,N,33847,.70,++,
89,Friday Jul 7,boxscore,BOS,,OAK,W,7,3,,46-43,5,10.0,Pivetta,Long,,2:21,N,31157,.70,+++,
90,Saturday Jul 8,boxscore,BOS,,OAK,W,10,3,,47-43,5,9.0,Paxton,Pruitt,Walter,2:42,D,34087,.78,++++,
91,Sunday Jul 9,boxscore,BOS,,OAK,W,4,3,,48-43,5,9.0,Martin,Waldichuk,Jansen,3:05,D,35460,.82,+++++,
92,Friday Jul 14,boxscore,BOS,@,CHC,W,8,3,,49-43,4,8.5,Bello,Hendricks,Jansen,2:47,N,37597,.90,++++++,
93,Saturday Jul 15,boxscore,BOS,@,CHC,L,4,10,,49-44,5,10.0,Stroman,Paxton,,2:35,D,40224,.88,-,
94,Sunday Jul 16,boxscore,BOS,@,CHC,W,11,5,,50-44,4,9.0,Crawford,Steele,,2:39,D,37812,.80,+,
95,Monday Jul 17,boxscore,BOS,@,OAK,W,7,0,,51-44,4,8.0,Pivetta,Blackburn,,2:37,N,9987,.89,++,
96,Tuesday Jul 18,boxscore,BOS,@,OAK,L,0,3,,51-45,4,8.0,Medina,Jacques,May,2:15,N,10115,.93,-,
97,Wednesday Jul 19,boxscore,BOS,@,OAK,L,5,6,,51-46,4,8.0,Felipe,Bello,May,2:43,D,15023,.95,--,
98,Friday Jul 21,boxscore,BOS,,NYM,L,4,5,,51-47,4,8.5,Hartwig,Crawford,Robertson,2:57,D,37035,.89,---,
99,Saturday Jul 22,boxscore,BOS,,NYM,W,8,6,,52-47,4,8.5,Paxton,Scherzer,Jansen,2:39,N,36505,.82,+,
100,Sunday Jul 23,boxscore,BOS,,NYM,W,6,1,,53-47,4,8.5,Murphy,Carrasco,,2:52,N,35619,.89,++,
101,Tuesday Jul 25,boxscore,BOS,,ATL,W,7,1,,54-47,4,8.0,Pivetta,Morton,,2:54,N,36663,.86,+++,
102,Wednesday Jul 26,boxscore,BOS,,ATL,W,5,3,,55-47,4,7.0,Jacques,Johnson,Jansen,2:29,N,37457,.97,++++,
103,Friday Jul 28,boxscore,BOS,@,SFG,W,3,2,,56-47,4,7.0,Crawford,Webb,Jansen,2:17,N,33755,1.00,+++++,
104,Saturday Jul 29,boxscore,BOS,@,SFG,L-wo,2,3,,56-48,4,7.0,Doval,Jansen,,2:38,D,37470,1.06,-,
105,Sunday Jul 30,boxscore,BOS,@,SFG,L-wo,3,4,11,56-49,4,8.0,Beck,Llovera,,3:13,D,37026,1.07,--,
106,Monday Jul 31,boxscore,BOS,@,SEA,L,2,6,,56-50,4,9.0,Brash,Pivetta,,2:45,N,32665,1.05,---,
107,Tuesday Aug 1,boxscore,BOS,@,SEA,W,6,4,,57-50,4,9.0,Bello,Miller,Jansen,2:38,N,28677,.97,+,
108,Wednesday Aug 2,boxscore,BOS,@,SEA,L,3,6,,57-51,4,9.0,Brash,Schreiber,Muñoz,2:49,D,37942,1.03,-,
109,Friday Aug 4,boxscore,BOS,,TOR,L,3,7,,57-52,4,10.5,Manoah,Paxton,Hicks,2:31,N,36376,1.08,--,
110,Saturday Aug 5,boxscore,BOS,,TOR,L,4,5,,57-53,5,11.5,Berríos,Bernardino,Swanson,2:47,D,36732,.95,---,
111,Sunday Aug 6,boxscore,BOS,,TOR,L,1,13,,57-54,5,12.5,Bassitt,Murphy,,2:48,D,36162,.82,----,
112,Monday Aug 7,boxscore,BOS,,KCR,W-wo,6,2,,58-54,4,12.0,Jansen,Hernández,,2:41,N,32732,.51,+,
113,Tuesday Aug 8,boxscore,BOS,,KCR,L,3,9,,58-55,5,12.0,Singer,Crawford,,2:47,N,30997,.59,-,
